Topic,Count,Name,Representation,Representative_Docs
9,35,9_questions_answered_quick respond_quick,"['questions', 'answered', 'quick respond', 'quick', 'answered questions', 'respond questions', 'respond', 'timely manner', 'manner', 'addressed']","['officer quick respond questions quick went smoothly', 'handled quickly answered questions timely manner', 'amazing quick questions answered timely manner helpful']"
10,35,10_lenders_lender_financing_extremely helpful,"['lenders', 'lender', 'financing', 'extremely helpful', 'best', 'true', 'seamless', 'transparent', 'lending', 'start finish']","['straight forward seamless start finish rates par major lenders dashboard tells tasks need completing great user friendly highly recommend', 'purchased sold properties years worked lenders agents cost setup creates low cost great rate easily surpass lenders need make improvements just easy use best platforms cusp best definitely cost effectiveness makes small areas improvement', 'complain truly fair transparent beginning patient streamlined extremely helpful got exactly needed competitive compared lenders say thank']"
11,32,11_refinance_home_advisor_refinance home,"['refinance', 'home', 'advisor', 'refinance home', 'home advisor', 'highly', 'definitely recommend', 'thank', 'looking', 'start']","['refinance smooth working katie amazing acquires handle needs issues katie available days pleasant work knowledge accuracy care star definitely recommend katie looking refinance home thank katie', 'refinanced home seamless beginning end tarun team amazing work knowledgeable professional best responsive questions concerns highly recommend looking finance refinance home', 'refinance com wonderful beginning end helpful kept progress track closing wonderful having ability home great highly recommend looking refinance home']"
12,32,12_refinancing_refinance_task_working,"['refinancing', 'refinance', 'task', 'working', 'phone', 'appreciated', 'tasks', 'really', 'worked', 'professional']","['really smooth refinanced couple times person felt like took weeks asked various pieces information appreciated able largely timeline getting shop terms work literally took maybe minutes homework home minutes working local notary person week later team proactive trying make sure knew needed questions absolutely recommend friends family probably complete strangers', 'worst refinancing com automated site work unless actually need talk constantly ping tasks times asking information didn actual people worked knowledgeable inept incompetent underwriting department displeasure working main issue qualify rsu income told don qualify rsu income complained fought didn budge actual page site saying qualify income sent page relented qualified income biggest joke came described qualified used stock vested year period randomly chose stock price previous years working tech knows typically grant rsu yearly vest year cycle means year stocks near lowest level furthest vest date long story short ended qualifying total rsu grant typo stay far away actually qualified job', 'overall start finish excellent communications simple straightforward online fast easy task list liked emails personalized customer-centric needed appropriate specialist responsive email phone refinance took weeks compared companies quoted 2-4 months com lowest rates origination fees highly recommend looking refinance']"
13,31,13_like_times_request_wrong,"['like', 'times', 'request', 'wrong', 'got', 'life', 'closing', 'day', 'worst', 'documents']","['negative stars working refinance house worst life like worse hell cruel evil emotional roller coast days lot time kinds paperwork got limited updates email times taking long understand requests correct typos like birth year wrong got told looking good course getting hopes expressed times went hoops day say denied haven received child support months missed time wasn going approved dragged days say caused anxiety heartache pain anguish waste valuable time huge emotional roller coaster idea kids wrost', 'normally write long reviews save just person having like case com worst kind digital want cost savings associated online originator don deliver prepared ridiculous delays hours claim joke forced submit documentation explanation end having random decisions reasonable explanation applied high credit score year employment history annual income cash bank pay low risk case managed drag months low point having submit form fifth time having repeatedly rejected explanation finally revealed check box pen typing computer uncountable similarly frustrating experiences thought finally emerged torturous got approval notification task schedule closing wrong follow text saying forward stated reason travel work don know respond', 'tasks problems beginning end example got tasks suppose hrs closing days closing knowing computer did tasks like confirmed notary info days meeting notary example showed bank statement showing plenty cash bank later come 300 needed closing yup quite tasks computer times kidded rep email request coming times wanted bring 300 closing add things brought repeatedly weren responded computer program apparently thought time like kept using month old payoff number spoke human course notary closing feel like run owned flipped lot properties hobby life mortgages life come away young generation ers don want human interaction like teenage kids like talking human things like sign hoa form planned unit development furnished statement hoa voluntary club legal hoa just silly somewhat satisfied frustrated thought paying extra extend rate lock unfair dragging feet ready close day']"
14,28,14_brian_questions_thank_work,"['brian', 'questions', 'thank', 'work', 'answered', 'professional', 'things', 'questions answered', 'quickly', 'kept']","['like say million thank entire team members worked efficiently home great quality service dedication determination faster transparent communication greatly appreciate heart guys went work processing time especially like express heart thank andy colleen erin sara daniel majority time interacting andy expert colleen closing expert great people work fast response knowledgeable impressed performance remarkable service guys did fantastic job', 'real pleasure work entire certainly appear easy extremely pleased readily available answer questions direct nicole valencia especially went normal expectations assistance answered questions quickly efficiently did hesitate ask clarification verification pressed time closing meet specific date nicole certain track meet date', 'beginning things felt rushed information sent didn match confused molli called spoke personally patient easy talk explained clearly answered questions kindness built good rapport super important things flow communication brian great brian patient kind able send text messages brian super helpful gave peace mind knew doing best tasks timely responded quickly feel molli brian strived make work got deal expected recommended friend refinanced recommend friends family sincerely appreciate hard work long hours molli brian help september year started provider fell say things happen reason gave rate great absolutely complaints whatsoever case handled fact wholeheartedly appreciative thank hearts molli brian amazing assets truly hope recognized work']"
15,27,15_responsive_helpful responsive_professional_digital,"['responsive', 'helpful responsive', 'professional', 'digital', 'staff', 'super', 'online', 'online platform', 'team responsive', 'helpful']","['smooth efficient streamlined great responsive service', 'harman helpful responsive', 'good online backed responsive professional staff']"
16,26,16_excellent service_service_great service_good,"['excellent service', 'service', 'great service', 'good', 'excellent', 'easy great', 'pleasant', 'definitely', 'help', 'appreciate']","['excellent service', 'excellent service', 'excellent service']"
17,26,17_stephanie_stress free_stress_free,"['stephanie', 'stress free', 'stress', 'free', 'thank', 'amazing', 'bryan', 'awesome', 'help', 'dream']","['danielle great work super friendly responsive really easy stress free', 'rosa simmons incredibly smooth stress-free professionalism expertise dedication evident step way available answered questions promptly ensured got best terms highly recommend rosa seeking excellent services thank outstanding support', 'kaelyn stephanie team awesome worked stephanie lot really responsive knowledgeable helpful thank bonuses site super easy use intuitive really liked gives tasks complete account keeps things moving progress doesn don overwhelmed purchase honestly bit nervous hadn heard really exceeded expectations thanks']"
18,26,18_income_said_account_told,"['income', 'said', 'account', 'told', 'closing', 'number', 'did', 'don', 'asked', 'rental']","['homeowners beware tldr pay inspection fee string till reason cancel account com worst companies displeasure working tried refinance home start october 2020 happily supplied required documents prompted website paying 500 appraisal house btw appraiser showed walked house communication actual people stopped month requested send proof paid proof income proof retirement account balance month account limbo continue push closing date word end february 2021 months starting account com just vanished calls emails texts panic problem end account person says account phone number luckily email start account gave representative asked verify phone number account number number seen verified ownership account social informed account closed supplied requested documents days closed account furious spent months giving asked month getting notified action needed terminating account asked speak account manager gareth cobb account manager currently meeting talk told reach soon gets phone changed number account match real phone number important later left 10am expecting gareth cobb shortly happened come day called representative asked verify phone number told number did match number file gave number clue said phone number account explained gareth cobb supposed previous day account called tried send meeting said later stupidly believed going talk account manager hung came friday answer days monday rolled called thing time actually upset representative nice sympathetic nice account manager gareth cobb reached asked questions time told gareth cobb defiantly reaching end day said want speak manager said manager shortly account weeks later called 500 inspection thing feels like total scam -john baxter', 'say 2nd refinance unlike refi stressful unorganized irritating showed lack attention service lack communication skills unprofessional dealing people did know job hands file communication coworkers repetitive redundancy closing nightmare sign wrong information explained make sure wouldn mistake questions asked answers given outright ignored notary arrived wrong told don worry sign let know resign second time week later emailed ashley asking funding taking place days signing told tasks auto emails sent letting know things needed consistent basis emails unanswered days complained included manager did revert non-communication closing signed september october didn calls emails texts letting know needed rescission docs emailed ashly 13th getting notified calls cooper existing charged late fee need make payment 14th incur fees fremont bank notifying payment sends email saying need sign recission letter fund unless signed recission letter charm told displeasure felt said sorry end need funded 12th 13th shows attention file email 10-14 stating fannie mae guidelines needs updated letter cpa close close unless letter cpa dated days closing mistakes known sign 2nd time taken care vacation birthday deal recontact cpa update letter send tell thing need fund display incompetency disorganization receive email hours later telling congratulations funded course check told reilly carter ahead pay ensure don negative reporting credit report main concern issues refi stressful just felt like number personal touch did feel like value just computer-generated file left hand definitely letting right hand know doing running heads cut refer colleagues friends really hope organized train staff communicate fix algorithms streamline notify clients tasks needed need additional information definitely don clients sign closing docs incomplete file signing closing docs consumer means running signing rescission letters having cpa write rewrite letters fact dissatisfied spreads faster wildfire happy', 'earlier year recruiter contacted heard did research google reviews impression fast processing 100 online attracting time don want places covid-19 started online application 8th finish tasks hours 19th received email stating conditionally approved processor asked cema option said yes said weeks weeks later received update sent email replied let know update attorney days later asked update attorney said asked just attorney update day later said ready couple days week passed update send email asking phone questions ask reply tried times reply called phone number page just realized phone numbers just direct service week called service times time response meeting later ask service tell manager manager manager service did response form manager gave finally managers don care email received thank patience sounds like reply service processor said failed phone months meeting busy sure work hours day processor took long vacations months caring work know right lot originators super busy new york really don understand manage vacations aug 4th finally received email saying case closing team despite lot unfinished tasks weeks later asked choose closing date chose aug 25th 7pm day received phone telling make didn finish tasks rescheduled sept 1st 7pm august 31st received phone excuse said appraisal expired don know say ease expired incompetence don know just tell hours closing considering look important work human com start completely cutoff don hope timely updates complete blackbox fast processing just shameless lie worked banks closed processing time 2-4 times faster com importantly real human talk things need mention lot closing cost including rate points increased initial closing disclosure items increase times don increase rate lock refuse explanation said rate lowest match lower rates really doubt locked rate points month later asked banks worked points points quotes time exactly sure']"
19,24,19_calls_service_calling_emails,"['calls', 'service', 'calling', 'emails', 'phone calls', 'phone', 'poor', 'consultant', 'emails calls', 'started']","['calls rates worth ease use submitted soft check application check rates agreed called texted like stalker level spam don answer phone 3-4 times hard work text finally picked representative got rude said allowed wanted consented said didnt consent called 4-6 times asked time getting implying fault normal website great rates standard lender tactics incredibly annoying rate pushy salesperson trust', 'initially lot phone calls secure rate locked phone backs officer called times day gone answers phone calls scheduling website respite service directly everytime', 'horrible service introduction answers emails phone calls agent called multiple times numerous days consultant pete rourke didn speak entire time tried use service use']"
20,24,20_family_friends_recommend friends_friends family,"['family', 'friends', 'recommend friends', 'friends family', 'definitely recommend', 'family friends', 'wife', 'work', 'definitely', 'helping']","['awesome streamlined hidden charges definitely recommend friends family', 'transparency extremely efficient appreciate fast closing recommend friends family', 'excellent website design helpful staff step way definitely recommend friends family members']"
21,24,21_amazing_team worked_team helpful_helpful,"['amazing', 'team worked', 'team helpful', 'helpful', 'professional', 'great easy', 'simply', 'recommend great', 'great team', 'communicated']","['great team worked gave lots help thankful', 'professional team helpful', 'kasey bryan formidable team easy simply best team worked amazing']"
22,23,22_upload_upload documents_documents_easy upload,"['upload', 'upload documents', 'documents', 'easy upload', 'website', 'docs', 'tool', 'uploading', 'updates', 'user friendly']","['online application let choose best option quickly attach documentation needed document copies easy upload gave instant feedback tool little like game ticking tasks feel like want win answer questions emailed status officer kept touch helped stuck new question honestly couldn believe fast wrong wonder deal kaputs happened competitors looked reviews sure legit pleased', 'max kept informed step way liked easy upload documents answer required information leave house entire streamlined straight forward thanks', 'painless easy parties introduced reached communicated entire website tasks tab great tool list organized easy use upload documents thank']"
23,22,23_closing_rates_costs_closing costs,"['closing', 'rates', 'costs', 'closing costs', 'bait switch', 'closed', 'bait', 'switch', 'rate', 'good']","['great easy advertised rate really competitive afraid bait switch wrong locked smooth sailing business owner upload lot information easy portal went application closing refi just weeks', 'super simple refi closed quick best closing costs rates', 'far good easy navigate line platform rate rocket rates closing costs hopefully don pull bait switch like rocket update close']"
24,21,24_lenders_lender_offer_didn,"['lenders', 'lender', 'offer', 'didn', 'purchase', 'realtor', 'online', 'home', 'service', 'just']","['hope gets read shopping refinance best nerdwallet com gave com good reviews maybe bought signed liked portal immediate attention inquiry offers fraud sent compelling offer chose lock-in 30min gone said don worry portal showing offer just initial offer just clicking fine choosing pay appraisal portal says click offer lock wasn offered email point said market shifted sorry market shifting fast different didn care day later said credit pulled line offered fraudulent offer lock-in did couldn make mind offer changed don trust', 'hello tomas just did purchase house help hear online lenders far didn sound good just got entire couldn tried local lenders realtor consideration saw big difference couldn believe got best deal shopping lender online got best lower comparing lenders service unconditional great team people help best way complains state platform portal easy work proud took right decision working say kind family friends couldn believe realtor ended saying wow service tomas real deal impressed service thing didn like schedule able talk representative understand volume work sure soon recommend online lenders really thank guys time effort make dream come true', 'fantastic decided lender recommended realtor little skeptical rate significantly lower original lender offer cost buying real estate didn know certainty rate possible compare best rate offered lenders comparing did diligence- looked reviews compared terms read fine print things checked encouraged lenders offering red flag told online watch realtor skeptical bad stories heard clients probably lender wasn confident think meant decided plunge chris feel ease spoke awesome work felt really cared felt trustworthy sanam coordinator super responsive caring intelligent great communicators didn worry talking wasn expert apparent start attentive responded fast emails phone calls time time didn answer called 15-30 minutes just great service start finish smooth online portal simple use nice liked great glad went gut recommend highly getting basic financial ducks row smoothest come need service']"
25,21,25_approval_closing_closed_close,"['approval', 'closing', 'closed', 'close', 'just', 'pre approval', 'pre', 'just days', 'final', 'fast']","['jess best does pre-approval way final closing easy stress-free possible able close days grateful', 'start finish super easy applied locked rate monday approval thursday evening closed tuesday seen close fast simple easy follow tasks complete fast review approval got excellent rate match closed super fast service good use time', 'amazing job team especially danny blue michael rhodes builder pretty noncooperative pushed big-time crunch giving final closing date late just days just days team heard got final approval gave initial closing disclosure danny especially helpful calm voice heard bad situation wasn team']"
26,20,26_service_excellent service_excellent_professional,"['service', 'excellent service', 'excellent', 'professional', 'fast', 'highly', 'fast efficient', 'highly recommend', 'thank', 'knowledgeable']","['easy simple excellent service steps thank', 'excellent service representatives responsive helpful explaining steps involved best really appreciated able monitor way', 'excellent service communication smooth questions answered timely way information documents easily accessible online format easy use highly recommend']"
27,20,27_helpful_quick easy_easiest_super helpful,"['helpful', 'quick easy', 'easiest', 'super helpful', 'helped', 'super', 'help', 'explained', 'quick', 'needed']","['quick easy helpful', 'quick easy helpful', 'jayme alverson helpful easy']"
28,20,28_refinance_rate_refinancing_com,"['refinance', 'rate', 'refinancing', 'com', 'liked', 'rates', 'options', 'years', 'questions', 'offered best']","['refinance streamlined simple really enjoyed interactive options selecting right rates points years shopped check best rate came paperwork easy digital interface breakdown tasks liked sales pressure origination unlike competitors hiccup signature issue signing day did sully overall', 'painless modern refinancing point does feel like old shoehorning modern methods dated approach felt like specifically built digital era contact closing kept abreast step way interface use extremely intuitive efficient providing necessary documents asking questions right person individual step just engaging human contact need support importantly shopping landing offered best rate rate used time overall reason use recommend moving forward', 'happy refinance start finish interface easy initial rate quotes super flexible choose rate quote sense refinancing goals entire person assigned refinance responsive helpful issues getting touch questions regarding task online portal easy navigate easy refinance information needed provide read positive reviews choosing lender little nervous end happy went did provide best rate far communication responsiveness team absolutely perfect refinance closed month exactly locked rate closed sooner ran issue previous lender hadn shown previous account closed processing expert helpful responsive helping navigate solve issue previous lender hands refinance']"
29,19,29_start finish_finish_start_highly,"['start finish', 'finish', 'start', 'highly', 'highly recommend', 'smooth start', 'dropped', 'recommend great', 'great job', 'smooth']","['amazingly smooth start finish highly impressed worked responsiveness professionalism highly recommend recommend friends family great job', 'amazing start finish', 'helpful start finish']"
30,18,30_lender_days_line_date,"['lender', 'days', 'line', 'date', 'recommend looking', 'closing', 'lenders', 'estimate', 'previous', 'time closing']","['application lender offer said match far good sent estimate doc lender requested say old days old recent fine day application expired apply fine estimate needs days moving goalposts time', 'thank specially justin brie got finish line days prior original closing date highly recommend primarily online lender submit applications follow complete upcoming tasks finish line support super quick questions guidance need', 'saved home buying originally working lender making offers homes eventually accepted previous lender started giving issues offer accepted closing date scheduled sought help worked fantastic especially kody powell luke holden helped approved squared away time closing quick turnaround happier wasn homeowner right']"
31,17,31_appraisal_appraiser_000_tell,"['appraisal', 'appraiser', '000', 'tell', 'house', 'approved', 'don', 'new', 'value', 'property']","['unpleasant com home home appraiser sent deliberately low-balled home value 120 000 appraisal precise used comparable sold years ago reduced square footage home drastically com representatives action incorrect appraisal refused oblige requests making validate appraisal order new overall unfortunate wasted 550 appraisal fee wasted substantial time', 'second refinance past couple months refinancing investment property didn smoothly residence applied july appraisal appraiser new unfamiliar area assessed house 151 foot provided details incorrect request reevaluate appraisal denied asked appraisal told way appraisal application point told subject worst case pricing additional points application applied hoping reasonable appraise house knowledge area applied end august zero communication weeks follow team going appraisal scheduled told appraisal wasn reaching saw recent appraisal able ball rolling month paid appraisal completed viola appraised 260 000 000 previous appraiser disappointed communication lack highly unsatisfied penalized way especially time borrower nearly 600 000 home investment refi wouldnt refinanced primary residence offstage complaint taking onstage hope authority respond complaint', 'runs elegant scam scam works look credit score 800 tell problem qualifying submit lot paperwork site does work keeps asking information sent people tax returns knew exactly wanted borrow approved knew income completed tax returns 2018 2019 appraisal property came million said used appraiser paid 550 appraiser came house spent minutes looking appraisal cost 300 appraiser spent hours making accurate measurements appraiser appraised property 150 000 appraisal licensed real estate appraiser 150 000 zillow estimated value sending documents finally said income debt ratio low knew asked pay additional useless inaccurate appraisal opinion probably pay appraiser half 550 change scam simple convince borrowers appraisals let borrowers waste time uploading documents poorly organized site tell borrow weak excuses use']"
32,17,32_portal_responsive_web_closing,"['portal', 'responsive', 'web', 'closing', 'steps', 'agent', 'user friendly', 'simple', 'website', 'seamless']","['smooth beginning closing day web portal convenient officer responsive quick highly recommended', 'super responsive team step way initial easy online application closing just days document request simple easy navigate online portal', 'simple efficient best closing gone quote closing little weeks agent responsive questions kept informed step figured simplify entire clean simple web interface plus rates closing costs best']"
33,16,33_transaction_communication_efficient_transactions,"['transaction', 'communication', 'efficient', 'transactions', 'bank', 'money', 'smooth', 'step way', 'fast', 'days']","['good communication smooth transaction bought sold houses best', 'com impressively fast communication portal text phone excellent highly recommend transaction', 'smooth transaction beginning officer communication']"
34,16,34_start finish_finish_dashboard_start,"['start finish', 'finish', 'dashboard', 'start', 'website', 'online', 'easy use', 'task', 'instructions', 'website easy']","['streamlined online portal clear instructions step way friendly informative staff interactions quick start finish', 'great start finish online clear transparent useful tab tasks able check way brian barbosa involved kept date', 'fantastic start finish notch communication clear concise instructions task management entire took weeks- online just beat apr highly recommended']"
35,16,35_closing_refinance_clearly_house,"['closing', 'refinance', 'clearly', 'house', 'paperwork', 'excellent', 'communicated', 'refinancing', 'things', 'rate']","['wife used refinance november 2020 highly recommend firm offered excellent rates decided pay points rate rate unheard years ago year term multiple options selected extremely straightforward easy simply scan necessary documents upload resides dashboard progress staff helpful communicated email phone couple instances sign paperwork closing agent came house friday evening signed monday wired closing funds received stars earned', 'let preface comments stating experiences differ com absolutely best refinance started terrific rate mark advisor things just kept getting explained needed supply needed kept appraised taking place start approval way closing delivered exactly said did time frame said happen didn make multiple trips bank able paperwork online title sent person home finish does funded hours state com mark closing agent far exceeded wildest expectations absolutely recommend friends family needing refinance thanks staff really job', 'just refinanced week fresh competitive rates make sure shop immediately matched rates closing costs received lender user workflow application underwriting smooth seamless closing hand felt like different closing expert didn handle things slow respond unique circumstances signing ended giving incorrect information forcing re-do things came actual closing screwed documents close twice pushed closing date following month increased closing costs extra fortunately gave concession cover fees charged previous lender wells fargo post-close limited guidance steps pass service unclear reserve judgement months bit wary closing']"
36,14,36_heloc_worst_credit_approved,"['heloc', 'worst', 'credit', 'approved', 'house', 'appraisal', 'lending', 'people', 'research', 'word']","['horrible deal appears general consensus nearly perfect candidate heloc approved paid appraisal pocket appraisal heard week emailed requesting closing date got response called processor evasive questions asked finally saying fund heloc property having acres limit acres minute remorse requested speak supervisor told contacted day heard word couldn tell paid appraisal wasted month time terrible business practices guess way things new york', 'using heloc worst financial decision chose number reasons including perceived fast efficient online truth heloc application began february 13th finally closed 3rd documentation required mention duplication nightmare delays turn major issues title work research solve did research helocs closing costs account remained open months case dead wrong sure believe hid documentation inundated 000 mistake absolute nightmare did leg work fleeced doubt', 'did heloc care additions wanted make new house super efficient transparent visibility current status steps additional info needed entire thing took couple days approved friday week appraisal closed early week heloc great product gives flexibility use need open future projects don run lending products like theirs great']"
37,13,37_staff_poor_lack_terrible,"['staff', 'poor', 'lack', 'terrible', 'bad', 'service', 'shows', 'caring', 'poorly', 'quality']","['sacked staff christmas group', 'bad leadership treat way treat staff untrustworthy', 'trust showing poor ethics leader expect respect lack respect demonstrated way caring public opinion shows lack decency lack basic values poor management definitely stay away far possible']"
38,12,38_pre approval_pre_approval_closing,"['pre approval', 'pre', 'approval', 'closing', 'personnel', 'page', 'processes', 'account', 'expect', 'friends family']","['convenient online team responsive rates attractive downside isn room customization approach consideration different circumstances robotic rule surprises values corrected closing day taxes provisioned monthly payment looking 500 actually initial estimate uneasy closing costs fluctuated lot didn companies stressful went wasn super smooth good thing extremely helpful verified pre-approval letter door worked closely expedite highly appreciated team responsive polite limited makes approach robotic customized', 'right form pre -approval online ideal tech savvy wants online team dedicated decide interaction want understand instructions questions need talk officer breeze liked suggest improvement time task available notification registered email time email available tasks email notification 100 account logged did instantaneously overall 100 satisfied happily recommend friends family origination fee lowest rate entire shopped nearly lenders choosing happy chose', 'stars rounding smooth solid entry transition preparation closing website user-friendly design layout navigation content feedback user access support really loved educational materials processes encountered account page website tightly linked personnel highly accessible provided timely thorough clear explanations guidance application analysis approval preparation processes really seamless low-stress newbie finance felt like hit wall got closure insofar felt like working blind didn know expect lapse support initially attributed personnel issue entirely structural information guiding closing steps near granular steps official emails bmc tying notices account page time-line account page funding phase feel like business bmc praises singing friends family getting email day explaining happening expect path ahead relief hope remarks clear don actually know names various phases tried guess terms make smooth bumpy closing waypoints clear thanks overall great cheers robin']"
